       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
      18.144660     2948.090383     1826.824690     1838.227820  -0.6 9.210 9.741 9.834     1449.624497         1462.93  -0.9
       0.390097     2947.567867     1946.831840     1925.775880   1.1 20.532 18.052 18.778     1949.342260         1963.25  -0.7
       5.901087     2944.058700     1787.916970     1757.047350   1.8 19.241 17.104 17.759     1747.872474         1746.44   0.1
      27.457470     2943.542593      718.682830      745.127090  -3.5 9.257 9.776 9.871      570.920456         593.705  -3.8
      27.805610     2940.149237      741.616140      739.297440   0.3 12.651 12.267 12.552      635.317642         638.607  -0.5
      30.485493     2937.853770      648.028940      608.089970   6.6 13.246 12.704 13.023      562.225519         532.421   5.6
      45.994087     2934.960037      275.225610      298.917170  -7.9 9.540 9.983 10.095      220.065792          239.84  -8.2
      40.459067     2937.682340      388.678190      354.942370   9.5 9.018 9.600 9.682      307.055383         281.132   9.2
      24.543963     2943.951790      963.691700      983.123470  -2.0 10.348 10.577 10.733      784.844575         804.517  -2.4
      30.151493     2933.206107      756.971260      689.622080   9.8 17.894 16.115 16.694      721.301115         667.109   8.1
       1.906860     2957.657750     3379.905480     3529.969920  -4.3 8.942 9.545 9.622     2665.444938         2790.65  -4.5
       1.661623     2954.606640     2564.256480     2588.467340  -0.9 11.993 11.784 12.033     2165.778902         2202.32  -1.7
      21.413933     2938.326873     1149.084190     1128.084460   1.9 17.473 15.806 16.362     1086.064672         1081.88   0.4
       8.844473     2951.912487     2296.230930     2199.294370   4.4 9.588 10.018 10.132     1838.031382          1766.7   4.0
      19.905473     2944.442840     1482.615180     1476.317370   0.4 12.157 11.904 12.162     1256.677675         1260.85  -0.3
       9.781457     2946.916907     2053.703150     1998.091410   2.8 14.583 13.685 14.079     1832.159218         1802.21   1.7
      29.430817     2938.237797      689.959130      657.306860   5.0 13.662 13.009 13.351      603.870400         580.914   4.0
      32.734540     2940.594803      513.303570      501.113530   2.4 9.605 10.031 10.146      411.043385         402.721   2.1
      24.785540     2933.253857      935.964720      877.866070   6.6 21.046 18.429 19.184      945.999731         903.861   4.7
      28.938670     2933.073797      815.919240      748.382820   9.0 18.826 16.799 17.431      791.429986         737.731   7.3
      32.455060     2936.546727      603.144610      548.420430  10.0 13.653 13.002 13.344      527.789211         484.585   8.9
      25.184767     2943.635833      888.676760      911.995610  -2.6 10.664 10.808 10.983      728.903686         752.002  -3.1
       4.486973     2953.703800     2436.493590     2403.392330   1.4 10.396 10.612 10.771     1986.461529         1969.04   0.9
      10.401773     2931.585690     1253.245970     1226.321280   2.2 29.114 24.351 25.558     1452.226789         1458.04  -0.4
       5.162607     2953.294340     2391.289870     2337.467370   2.3 10.806 10.912 11.094     1967.574319         1933.93   1.7
      35.018210     2934.577300      547.791300      485.690660  12.8 14.123 13.347 13.715      484.070268          433.66  11.6
       5.091440     2954.922173     2606.674770     2574.384890   1.3 9.178 9.718 9.808     2066.931635         2047.18   1.0
      45.838037     2935.895263      273.215750      296.190870  -7.8 8.605 9.297 9.356      213.769976         232.182  -7.9
      36.759833     2935.502940      472.637400      416.874240  13.4 12.597 12.227 12.510      404.426825         359.655  12.4
       5.850010     2954.537160     2559.641110     2503.064030   2.3 8.763 9.413 9.481     2010.145184         1969.95   2.0
      11.251547     2947.561010     2127.698230     2077.151360   2.4 13.139 12.625 12.938     1841.789574         1814.28   1.5
      16.689540     2936.042110     1269.483700     1238.114500   2.5 22.058 19.171 19.984     1306.663211         1299.52   0.5
      39.799310     2936.185333      389.757730      354.340170  10.0 10.515 10.699 10.865      318.614886         291.131   9.4
