       x_coord        y_coord           Rho           Rho_Ref      %     Depth    Temp    Temp_Ref    Rho_cT     Rho_ref_cT  %_cT
       1.880697     2943.716987     1814.491300     1732.435540   4.7 22.883 18.155 20.636     1821.533784         1846.58  -1.4
      34.801530     2940.722730      536.936160      469.483630  14.4 7.977 8.377 8.860      407.763914         362.207  12.6
      24.668980     2940.396073      894.797060      953.703710  -6.2 13.904 12.265 13.542      766.504904         847.416  -9.5
      16.933700     2949.817043     1930.553540     2108.261600  -8.4 8.283 8.578 9.102     1475.793194         1639.25 -10.0
      19.496580     2940.717693     1366.982170     1342.935350   1.8 15.882 13.563 15.105     1215.342447         1245.74  -2.4
      49.617953     2931.605663      412.240820      428.374680  -3.8 11.994 11.012 12.034      340.225250         364.477  -6.7
      22.955493     2946.123777     1161.653640     1184.192290  -1.9 8.876 8.967 9.570      899.317406          934.63  -3.8
       2.213267     2953.930440     2335.454840     2458.394890  -5.0 12.670 11.455 12.567     1953.329344         2124.48  -8.1
      12.814050     2944.792317     1959.732870     1850.482530   5.9 15.208 13.120 14.572     1720.657016          1691.9   1.7
       1.818560     2949.041167     2082.849160     2013.351190   3.5 17.559 14.663 16.429     1909.066093          1934.3  -1.3
       2.380933     2933.491720     1409.191530     1354.716090   4.0 31.408 23.748 27.371     1611.686075         1672.08  -3.6
      23.662123     2945.799077     1055.202860     1103.359980  -4.4 9.201 9.180 9.827      822.525442         877.908  -6.3
       6.885087     2940.379620     1699.327930     1560.578610   8.9 22.920 18.180 20.665     1706.964807         1664.56   2.5
      38.813030     2935.471473      413.989660      374.618560  10.5 11.829 10.904 11.903      340.542826         317.513   7.3
      44.730990     2933.931540      304.156260      323.995090  -6.1 11.168 10.471 11.381      246.902697         270.383  -8.7
       9.834870     2953.121130     2456.985500     2253.337260   9.0 8.379 8.641 9.177     1882.083856         1756.32   7.2
      13.804190     2939.365660     1558.939110     1436.422050   8.5 19.934 16.221 18.306     1489.602216         1447.42   2.9
       3.997027     2956.211497     2738.413480     2983.468850  -8.2 7.889 8.319 8.790     2075.639118         2296.52  -9.6
      29.053620     2939.067380      680.233230      676.490160   0.6 12.833 11.562 12.696      570.753010         586.784  -2.7
      53.180210     2934.636087      547.020600      525.187400   4.2 7.864 8.303 8.770      414.405374         404.007   2.6
       8.122670     2948.545867     2304.753350     2047.330710  12.6 14.054 12.364 13.661     1979.985224         1825.23   8.5
       1.652173     2952.906077     2270.881040     2349.424780  -3.3 13.694 12.127 13.376     1937.470844         2077.84  -6.8
       3.671990     2956.913580     2874.864350     3249.831250 -11.5 7.986 8.383 8.867     2183.681526         2507.84 -12.9
      14.654987     2945.678670     1892.586350     1875.638140   0.9 13.021 11.686 12.845     1593.841066         1633.91  -2.5
      20.714810     2947.258257     1486.595760     1470.082810   1.1 9.342 9.272 9.938     1162.227300         1173.79  -1.0
      10.307007     2947.606543     2229.888480     2060.168680   8.2 13.093 11.733 12.902     1880.537644         1797.59   4.6
      19.282100     2931.954950     1164.215910     1050.779810  10.8 24.645 19.311 22.028     1202.377313         1156.58   4.0
       8.450263     2931.566057     1346.891250     1251.691620   7.6 31.034 23.502 27.075     1532.164798         1535.66  -0.2
       5.894730     2951.820407     2445.721970     2198.047220  11.3 11.480 10.675 11.627     1997.825294         1847.84   8.1
      26.870520     2940.337503      760.771700      809.905240  -6.1 13.162 11.779 12.956      642.444962         707.784  -9.2
       1.781477     2955.514157     2473.938200     2774.603060 -10.8 11.086 10.416 11.316     2004.898705         2310.95 -13.2
      50.221723     2932.424403      410.205970      425.999290  -3.7 10.976 10.344 11.229      331.692429         353.885  -6.3
       3.332893     2943.147687     1820.736900     1703.782260   6.9 21.752 17.414 19.742     1794.040843          1778.0   0.9
      23.652400     2933.705813     1025.319360      935.993170   9.5 21.294 17.113 19.380     1002.582391         968.294   3.5
       1.937497     2935.156407     1465.714890     1412.778310   3.7 31.444 23.771 27.398     1677.180442         1744.73  -3.9
       9.064187     2941.974957     1812.127740     1647.314790  10.0 19.525 15.952 17.983     1719.365944         1646.61   4.4
      34.262450     2939.833723      530.277310      463.750100  14.3 9.666 9.485 10.194      417.395522         373.253  11.8
