    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   44   47        45   46        0.68461          178.60530      181.40127         0.57702E+01    0.47657E+01    1
   44   50        46   48        0.28103           80.20467       80.94631         0.14636E+02    0.14636E+02    0
   45   48        46   47        0.16943          102.99957      103.31184         0.10641E+02    0.10576E+02    1
   45   51        47   49       -0.05382          152.94046      152.82596         0.21506E+02    0.18361E+02    1
   46   49        47   48       -0.42597          238.87526      238.06135         0.10629E+02    0.10274E+02    1
   46   52        48   50       -0.71323          113.11776      112.00206         0.27715E+02    0.24900E+02    1
   47   50        48   49       -0.43775          229.85045      228.86987         0.87499E+01    0.87499E+01    0
   48   51        49   50        0.51625          193.00927      194.13553         0.90733E+01    0.90733E+01    0
   49   52        50   51       -0.74812          309.05325      306.67010         0.60820E+01    0.60820E+01    0
    6    4         8    2        0.04027          956.26066      957.20673         0.21316E+01    0.21316E+01    0
   14    8        20    2       -0.29419          187.71865      186.75763         0.55151E+02    0.42082E+02    1
   16    9        23    2       -1.28069          192.79373      147.70741         0.10119E+02    0.45034E+01    1
   18   10        26    2       -1.12374          227.55935      171.58538         0.45847E+01    0.35990E+01    1
   24   13        31    2       -0.42525           61.99596       47.69051         0.47048E+01    0.47048E+01    0
   26   14        34    2       -0.71991           15.35061       12.83956         0.50563E+02    0.50563E+02    0
   28   15        37    2       -1.14160           28.29416       27.92616         0.10000E+04    0.61119E+03    1
    5    4         6    3       -0.03166          775.16892      774.53105         0.12123E+01    0.10580E+01    1
    7    5         9    3       -0.00087          778.83607      778.65785         0.20831E+00    0.20831E+00    0
    9    6        12    3       -0.05373          402.45280      401.89866         0.60496E+01    0.60496E+01    0
   11    7        15    3       -0.01824          170.72225      160.39845         0.15510E+00    0.15510E+00    0
   13    8        18    3        1.42173          130.75543      152.67639         0.24735E+02    0.71735E+01    1
   15    9        21    3       -0.02156           96.61002       96.38292         0.12575E+02    0.12575E+02    0
   17   10        24    3        0.41281           96.34919      108.62715         0.51837E+01    0.51837E+01    0
   19   11        27    3       -0.44271           90.19228       77.56504         0.60834E+01    0.60834E+01    0
   23   13        29    3        0.01406           37.90193       38.28370         0.50256E+01    0.50256E+01    0
   25   14        32    3       -0.61097           31.17705       26.62050         0.20858E+02    0.20858E+02    0
    6    5         7    4       -1.58157         2494.69246     1378.72925         0.19178E+00    0.33450E-01    1
    8    6        10    4       -0.00172          536.73087      536.70687         0.29816E+01    0.29816E+01    0
   10    7        13    4        0.01793          165.90548      173.57198         0.15243E+00    0.15243E+00    0
   12    8        16    4       -0.10028          190.30763      189.43325         0.10246E+02    0.10246E+02    0
   14    9        19    4       -0.33351          119.55546      118.63818         0.40077E+02    0.40077E+02    0
   16   10        22    4        0.08187           83.09104       85.31576         0.48663E+01    0.48663E+01    0
   20   12        28    4        0.39849           43.66163       49.30547         0.12047E+02    0.12047E+02    0
   24   14        30    4       -0.76901           31.91474       31.67362         0.88640E+03    0.42877E+03    1
   26   15        33    4        0.55586           -4.44469        0.20032         0.18465E+02    0.18465E+02    0
   28   16        36    4        1.02895           -1.51105        9.62025         0.17809E+02    0.16099E+02    1
   30   19        45    4       -1.33413           32.51043       30.00322         0.10000E+04    0.19291E+03    1
    7    6         8    5        0.15037         1150.60264     1152.42150         0.16947E+01    0.16947E+01    0
   11    8        14    5       -1.03918          203.76135      195.44490         0.27020E+02    0.82486E+01    1
   13    9        17    5        0.01944          206.48110      206.65845         0.96607E+01    0.96607E+01    0
   15   10        20    5        1.15128           75.57787      106.63593         0.58118E+01    0.40772E+01    1
   17   11        23    5       -1.56785           95.31817       58.16486         0.19029E+02    0.55314E+01    1
   19   12        26    5        0.77877           32.96624       44.23104         0.10446E+02    0.10446E+02    0
   25   15        31    5       -0.34855           33.52610       31.11142         0.19436E+02    0.19436E+02    0
   27   16        34    5       -0.53336            7.71798        3.47527         0.19246E+02    0.19246E+02    0
   29   19        43    5        0.24287           14.81796       22.21342         0.11321E+02    0.11321E+02    0
   31   20        46    5        0.19659           -6.71324       17.67604         0.29240E+01    0.29240E+01    0
    8    7         9    6       -0.14963          948.68748      924.87165         0.14358E+00    0.14358E+00    0
   12    9        15    6       -0.08935          285.34297      285.09074         0.23822E+02    0.23822E+02    0
   14   10        18    6        0.02099          162.54619      162.63163         0.47145E+02    0.21762E+02    1
   18   12        24    6       -0.13923           76.55674       76.03019         0.34338E+02    0.34338E+02    0
   20   13        27    6        0.00949            7.65917        7.87195         0.66962E+01    0.66962E+01    0
   24   15        29    6       -0.67891           31.64415       27.86464         0.20381E+02    0.20381E+02    0
   26   16        32    6        0.28261            4.81928        8.11155         0.11414E+02    0.11414E+02    0
   30   20        44    6        0.03544           11.00104       15.74082         0.25877E+01    0.25877E+01    0
   32   21        47    6        0.09866            7.49124       11.31951         0.93964E+01    0.93964E+01    0
   13   10        16    7       -0.15770          391.05723      389.98919         0.96199E+01    0.96199E+01    0
   17   12        22    7        0.08032           83.24023       83.32970         0.10157E+03    0.96373E+02    1
   19   13        25    7        0.39969           21.82228       32.96358         0.46094E+01    0.46094E+01    0
   21   14        28    7       -0.00194           36.41741       36.40539         0.23805E+02    0.23805E+02    0
   25   16        30    7       -0.46837           54.86934       54.66731         0.27953E+03    0.26044E+03    1
   27   17        33    7       -1.59934           57.24841       33.36010         0.25623E+02    0.88428E+01    1
   29   20        42    7       -0.01595           22.48925       21.09286         0.37246E+01    0.37246E+01    0
   31   21        45    7        0.05518           12.77160       14.10845         0.14191E+02    0.14191E+02    0
   33   22        48    7       -0.09162           27.66864       24.61712         0.10948E+02    0.10948E+02    0
   12   10        14    8        0.85816          393.30733      403.66735         0.86688E+01    0.36041E+01    1
   16   12        20    8       -0.87819           87.91427       85.37682         0.57000E+02    0.29267E+02    1
   20   14        26    8       -0.00617           15.53730       15.51072         0.29545E+02    0.29545E+02    0
   26   17        31    8       -0.83961           32.52537       30.33567         0.42647E+02    0.42647E+02    0
   30   21        43    8       -0.38463            7.85239        1.35209         0.19412E+02    0.19412E+02    0
   15   12        18    9        0.50137          163.98542      166.93816         0.10741E+02    0.10741E+02    0
   17   13        21    9       -0.87798           55.07707       47.34725         0.97253E+01    0.97253E+01    0
   19   14        24    9        0.04063           12.82990       12.96375         0.32591E+02    0.32591E+02    0
   21   15        27    9       -1.47507           39.54808       18.56873         0.21557E+02    0.89163E+01    1
   25   17        29    9        0.15574           54.87797       55.00659         0.11024E+03    0.11024E+03    0
   27   18        32    9       -0.72123           74.44917       26.75773         0.16731E+01    0.16731E+01    0
   29   21        41    9       -0.96244           -2.74784       -3.09073         0.10000E+04    0.86447E+03    1
   31   22        44    9        0.05560           12.12412       13.69833         0.11588E+02    0.11588E+02    0
   33   23        47    9        0.08406           13.20581       20.17074         0.41767E+01    0.41767E+01    0
   14   12        16   10       -0.19089          336.69889      335.71765         0.81994E+01    0.81994E+01    0
   16   13        19   10        0.12050          132.00381      132.95708         0.79924E+01    0.79924E+01    0
   20   15        25   10        0.16379           35.68388       36.82553         0.15240E+02    0.15240E+02    0
   22   16        28   10       -1.11281           34.63176       30.80678         0.52527E+02    0.36570E+02    1
   26   18        30   10       -0.59335           53.15548       20.17892         0.16062E+01    0.16062E+01    0
   28   19        33   10       -0.57787           22.20893       21.33225         0.72837E+02    0.72837E+02    0
