    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   19   39        27   31        0.43629         1163.15891     1164.95288         0.28309E+03    0.28309E+03    0
   19   42        28   33       -0.74024         1214.89741     1211.38314         0.25553E+03    0.25553E+03    0
   20   23        21   22       -0.98276         6259.40753     6258.82130         0.27936E+05    0.10493E+05    1
   20   26        22   24       -0.89633         3961.29555     3960.37781         0.59921E+04    0.38684E+04    1
   20   37        27   30        1.09949         1235.75384     1240.25136         0.30265E+03    0.30265E+03    0
   20   40        28   32        1.01343         1129.02951     1133.37361         0.26390E+03    0.26390E+03    0
   21   24        22   23       -0.84597         8602.22800     8600.25231         0.35262E+05    0.36830E+04    1
   21   27        23   25       -0.48188         3680.27134     3679.93152         0.55489E+04    0.52186E+04    1
   21   35        27   29       -0.74781         1396.25389     1393.04298         0.32481E+03    0.32481E+03    0
   21   38        28   31        1.99290         1065.91351     1088.72187         0.26232E+03    0.94128E+02    1
   22   25        23   24       -0.86579         5225.07348     5224.15017         0.21171E+05    0.48992E+04    1
   22   28        24   26       -0.57602         3924.89468     3924.52520         0.61187E+04    0.61187E+04    0
   22   36        28   30        0.77233         1339.53127     1343.00442         0.29826E+03    0.29826E+03    0
   22   51        29   40       -1.95377         1386.49833     1365.63956         0.53709E+03    0.12889E+03    1
   23   26        24   25       -0.85500         8575.30271     8574.32261         0.40352E+05    0.74804E+04    1
   23   34        28   29       -1.17012         1497.44293     1491.44218         0.29141E+03    0.29141E+03    0
   23   49        29   39       -1.67940         1416.04638     1410.98722         0.57373E+03    0.46922E+03    1
   23   52        30   41       -2.08981         1414.38747     1389.34939         0.51394E+03    0.11700E+03    1
   24   27        25   26       -0.79607         5500.10517     5498.83343         0.23165E+05    0.34425E+04    1
   24   47        29   38        0.79818         1406.31291     1407.94195         0.68945E+03    0.68945E+03    0
   24   50        30   40       -1.10786         1394.39377     1391.54188         0.54112E+03    0.54112E+03    0
   25   28        26   27       -0.48434         5520.24665     5520.08556         0.21234E+05    0.16598E+05    1
   25   45        29   37        1.48354         1521.97729     1527.31886         0.96927E+03    0.42345E+03    1
   25   48        30   39        1.23331         1472.92746     1475.40356         0.78193E+03    0.73426E+03    1
   25   51        31   41       -1.57233         1408.95050     1403.96554         0.64377E+03    0.44362E+03    1
   26   43        29   36       -0.16789         1616.23869     1615.96911         0.15029E+04    0.10065E+04    1
   26   46        30   38        1.49143         1541.09666     1544.25767         0.10570E+04    0.72787E+03    1
   26   49        31   40       -0.54459         1459.14884     1458.04760         0.72131E+03    0.72131E+03    0
   26   52        32   42       -1.89084         1322.57592     1315.94314         0.56891E+03    0.37609E+03    1
   27   41        29   35        1.38747         2140.50727     2141.60622         0.30953E+04    0.27032E+04    1
   27   44        30   37        1.00023         1853.74195     1855.05914         0.17850E+04    0.14082E+04    1
   27   47        31   39       -0.99337         1637.60868     1636.02387         0.10260E+04    0.10260E+04    0
   27   50        32   41        1.11364         1394.82356     1397.18329         0.65882E+03    0.65882E+03    0
   28   39        29   34        0.14161         3020.15197     3020.22792         0.98215E+04    0.56313E+04    1
   28   42        30   36        1.06713         2352.02663     2352.84641         0.31164E+04    0.30622E+04    1
   28   45        31   38       -1.29683         1988.05767     1986.48405         0.17492E+04    0.16377E+04    1
   28   48        32   40       -0.70949         1568.30648     1567.24297         0.10610E+04    0.10459E+04    1
   28   51        33   42       -1.29972         1318.55259     1315.66999         0.73579E+03    0.59387E+03    1
   29   32        30   31       -0.03219         4545.67162     4545.65872         0.18478E+05    0.11344E+05    1
   29   35        31   33       -0.80458         3455.54720     3454.86693         0.54958E+04    0.40866E+04    1
   29   38        32   35        1.19059         1793.24757     1801.17787         0.18055E+04    0.26982E+03    1
   29   41        33   37        2.04023         1419.50276     1440.11706         0.10955E+04    0.14151E+03    1
   29   44        34   39        0.91855         1346.88361     1348.31712         0.86350E+03    0.86350E+03    0
   29   47        35   41       -1.26523         1325.79451     1318.66194         0.62228E+03    0.23455E+03    1
   29   50        36   43        0.51528         1283.42301     1284.82800         0.48278E+03    0.47095E+03    1
   30   33        31   32       -0.79309         4359.70003     4358.41054         0.15611E+05    0.26810E+04    1
   30   36        32   34       -0.06002         3670.41989     3670.34326         0.55005E+04    0.28752E+04    1
   30   39        33   36       -2.06199         1525.33221     1517.78741         0.15524E+04    0.41584E+03    1
   30   42        34   38        0.40694         1493.28690     1493.86819         0.10456E+04    0.10456E+04    0
   30   45        35   40       -1.57338         1440.50245     1432.06314         0.84777E+03    0.26777E+03    1
   30   48        36   42       -0.61216         1333.39260     1331.10404         0.67117E+03    0.35636E+03    1
   30   51        37   44       -0.67000         1121.12575     1118.99652         0.49209E+03    0.35245E+03    1
   31   34        32   33       -0.59527         4373.26074     4372.99493         0.17950E+05    0.97933E+04    1
   31   37        33   35        0.53012         2519.21178     2519.64397         0.39741E+04    0.30904E+04    1
   31   40        34   37        2.56998         1700.62771     1720.87666         0.17069E+04    0.21712E+03    1
   31   43        35   39       -0.67776         1654.43052     1653.57715         0.13136E+04    0.13136E+04    0
   31   46        36   41        0.02465         1416.34078     1416.41172         0.88234E+03    0.49222E+03    1
   31   49        37   43       -1.11247         1193.54583     1190.30534         0.55765E+03    0.40919E+03    1
   31   52        38   45        1.18809         1099.51869     1102.50818         0.44620E+03    0.43757E+03    1
   32   35        33   34       -0.65974         4470.27381     4469.29420         0.16464E+05    0.30102E+04    1
   32   38        34   36       -1.38517         2093.91197     2091.32621         0.33132E+04    0.11210E+04    1
   32   41        35   38        0.02499         2028.85476     2028.87808         0.21746E+04    0.21746E+04    0
   32   44        36   40        0.34048         1725.73262     1726.61979         0.14005E+04    0.66248E+03    1
   32   47        37   42       -1.21901         1261.81414     1256.87776         0.71788E+03    0.31099E+03    1
   32   50        38   44        1.14958         1054.05304     1057.07346         0.45937E+03    0.40175E+03    1
   33   36        34   35        0.15800         3553.92039     3554.09500         0.12248E+05    0.32161E+04    1
   33   39        35   37       -0.50993         2592.72862     2591.84355         0.42504E+04    0.14935E+04    1
   33   42        36   39       -0.87968         2016.65303     2015.74227         0.19474E+04    0.19474E+04    0
   33   45        37   41       -0.31466         1356.29216     1355.29309         0.10127E+04    0.42702E+03    1
   33   48        38   43       -0.11711         1096.06435     1095.87146         0.66539E+03    0.66539E+03    0
   33   51        39   45        2.28796         1040.27685     1061.18051         0.52898E+03    0.11500E+03    1
   34   37        35   36       -0.78697         4133.27820     4132.42551         0.16244E+05    0.38143E+04    1
   34   40        36   38       -0.57368         2712.82543     2712.22601         0.42512E+04    0.25960E+04    1
   34   43        37   40       -0.33038         1704.16895     1702.99970         0.18001E+04    0.48135E+03    1
   34   46        38   42        1.59528         1146.18582     1149.23857         0.89253E+03    0.59976E+03    1
   34   49        39   44        1.84504         1012.45167     1019.14637         0.55420E+03    0.27995E+03    1
   34   52        40   46        1.81787         1080.55281     1094.87330         0.50632E+03    0.13807E+03    1
   35   38        36   37       -1.73242         4508.21184     4495.52595         0.17518E+05    0.61479E+03    1
   35   41        37   39        0.34392         1917.28484     1917.56274         0.31684E+04    0.23729E+04    1
   35   44        38   41       -0.53026         1274.44978     1273.95947         0.13780E+04    0.13780E+04    0
   35   47        39   43       -1.95140         1025.64304     1019.25909         0.71893E+03    0.31254E+03    1
   35   50        40   45        1.65411         1053.70401     1067.68328         0.54399E+03    0.12551E+03    1
   36   39        37   38        0.33739         2356.53285     2356.91698         0.81667E+04    0.20700E+04    1
   36   42        38   40        1.38629         1474.23275     1476.58027         0.20958E+04    0.87128E+03    1
   36   45        39   42       -1.01026         1035.77268     1034.74678         0.10195E+04    0.10195E+04    0
   36   48        40   44       -0.19348          976.24422      975.87989         0.72586E+03    0.51836E+03    1
   36   51        41   46        1.87649         1074.58435     1095.86477         0.65017E+03    0.95691E+02    1
   37   40        38   39       -0.45429         2425.59620     2424.84839         0.83248E+04    0.14733E+04    1
   37   43        39   41       -0.80563         1217.76326     1216.59859         0.18894E+04    0.84195E+03    1
   37   46        40   43       -0.80925         1086.65623     1085.38294         0.11252E+04    0.69023E+03    1
   37   49        41   45        1.88254         1186.10278     1208.43606         0.80495E+03    0.10092E+03    1
   37   52        42   47        1.37525         1205.39350     1213.32824         0.67060E+03    0.20961E+03    1
   38   41        39   40       -0.90824         1220.36316     1219.41893         0.38793E+04    0.11734E+04    1
   38   44        40   42       -0.42132         1121.28141     1120.98628         0.18532E+04    0.16005E+04    1
   38   47        41   44       -0.29415         1048.58981     1047.95234         0.97107E+03    0.48371E+03    1
   38   50        42   46        0.62517         1196.78898     1199.56468         0.76154E+03    0.26986E+03    1
   39   42        40   41        0.14254          922.61413      922.73223         0.26597E+04    0.11136E+04    1
   39   45        41   43        0.19928         1058.43725     1058.63300         0.15909E+04    0.10776E+04    1
   39   48        42   45       -1.47320         1157.00205     1154.27923         0.11315E+04    0.62527E+03    1
   39   51        43   47        0.02165         1176.73079     1176.75944         0.88896E+03    0.88896E+03    0
   40   43        41   42       -1.84716         1037.80402     1032.14107         0.34333E+04    0.33759E+03    1
   40   46        42   44       -0.68567          982.10694      981.36437         0.14856E+04    0.90650E+03    1
   40   49        43   46       -0.40815         1241.11557     1240.65979         0.11112E+04    0.11112E+04    0
